Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
1,SCSA2105,Problem Solving Techniques Lab,Practical,AAA,AAA,AAA,100,RA
2,SMEA1102,Engineering Drawing,Theory,42,5,47,100,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,23,7,30,100,RA
3,SMTA1302,Discrete Mathematics,Theory,20,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,42,25,67,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,33,20,53,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,34,28,62,100,Pass
4,SCSA3016,Data Science,Theory,32,29,61,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,38,15,53,100,Pass
4,SMTA1402,Probability and Statistics,Theory,30,1,31,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,37,38,75,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,19,20,39,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,43,38,81,100,Pass
