Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,23,27,50,100,Pass
3,SCSA1302,Theory of Computation,Theory,22,28,50,100,Pass
4,SAIC4003,Universal Human Values,Theory,40,34,74,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,30,25,55,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,30,25,55,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,29,30,59,100,Pass
4,SITA3004,User Interface Design and Implementation,Theory,30,27,57,100,Pass
4,SMTA1402,Probability and Statistics,Theory,32,11,43,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,31,45,76,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,20,21,41,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,38,34,72,100,Pass
