Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
1,SCYA2101,Engineering Chemistry  Lab,Practical,AAA,AAA,AAA,50,RA
2,SCSA1201,Fundamentals of Digital Systems,Theory,18,0,18,100,RA
2,SCSA1203,Data Structures,Theory,34,1,35,100,RA
2,SCSA1204,Python Programming,Theory,16,8,24,100,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,16,34,50,100,Pass
2,SPHA1202,Physics for Information Science,Theory,35,1,36,100,RA
2,SCSA2201,Data Structures Lab,Practical,37,31,68,100,Pass
3,SCSA1301,Database Management Systems,Theory,17,9,26,100,RA
3,SCSA1302,Theory of Computation,Theory,19,4,23,100,RA
3,SCSA1304,Advanced Data Structures,Theory,10,25,35,100,RA
3,SITA1301,Programming in Java,Theory,15,1,16,100,RA
3,SMTA1302,Discrete Mathematics,Theory,14,13,27,100,RA
4,SAIC4003,Universal Human Values,Theory,31,28,59,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,29,23,52,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,19,1,20,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,21,1,22,100,RA
4,SITA3004,User Interface Design and Implementation,Theory,23,4,27,100,RA
4,SMTA1402,Probability and Statistics,Theory,16,4,20,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,14,27,41,100,RA
4,SCSA2402,Code Optimization and Debugging - II,Practical,18,21,39,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,38,30,68,100,Pass
