Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SCSA1201,Fundamentals of Digital Systems,Theory,25,0,25,100,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,19,0,19,100,RA
2,SPHA1202,Physics for Information Science,Theory,16,AAA,AAA,100,RA
3,SCSA1301,Database Management Systems,Theory,28,22,50,100,Pass
3,SCSA1302,Theory of Computation,Theory,10,1,11,100,RA
3,SCSA1304,Advanced Data Structures,Theory,25,25,50,100,Pass
3,SITA1301,Programming in Java,Theory,14,0,14,100,RA
3,SMTA1302,Discrete Mathematics,Theory,16,AAA,AAA,100,RA
3,SCSADPROJ,Design Thinking and Innovations,Project,42,36,78,100,Pass
4,SAIC4003,Universal Human Values,Theory,34,27,61,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,25,25,50,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,16,12,28,100,RA
4,SCSA3016,Data Science,Theory,17,15,32,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,28,2,30,100,RA
4,SMTA1402,Probability and Statistics,Theory,16,4,20,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,25,35,60,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,22,20,42,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,39,42,81,100,Pass
