Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SITA1301,Programming in Java,Theory,30,22,52,100,Pass
4,SAIC4003,Universal Human Values,Theory,47,40,87,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,42,25,67,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,41,26,67,100,Pass
4,SCSA3016,Data Science,Theory,38,33,71,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,40,2,42,100,RA
4,SMTA1402,Probability and Statistics,Theory,36,30,66,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,41,40,81,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,22,22,44,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,42,47,89,100,Pass
