Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SCSA1201,Fundamentals of Digital Systems,Theory,25,1,26,100,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,23,9,32,100,RA
2,SPHA1202,Physics for Information Science,Theory,28,6,34,100,RA
3,SCSA1302,Theory of Computation,Theory,25,25,50,100,Pass
4,SAIC4003,Universal Human Values,Theory,36,25,61,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,32,31,63,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,30,20,50,100,Pass
4,SCSA3092,Augmented and Virtual Reality,Theory,32,18,50,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,29,9,38,100,RA
4,SMTA1402,Probability and Statistics,Theory,22,5,27,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,27,32,59,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,18,22,40,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,46,45,91,100,Pass
