Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,22,28,50,100,Pass
3,SCSA1304,Advanced Data Structures,Theory,14,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,38,38,76,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,28,22,50,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,29,22,51,100,Pass
4,SCSA3016,Data Science,Theory,29,28,57,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,32,32,64,100,Pass
4,SMTA1402,Probability and Statistics,Theory,29,28,57,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,30,40,70,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,18,22,40,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,43,47,90,100,Pass
