Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1301,Database Management Systems,Theory,23,27,50,100,Pass
3,SCSA1302,Theory of Computation,Theory,12,8,20,100,RA
3,SCSA1304,Advanced Data Structures,Theory,17,33,50,100,Pass
3,SITA1301,Programming in Java,Theory,24,8,32,100,RA
3,SMTA1302,Discrete Mathematics,Theory,20,0,20,100,RA
3,SCSADPROJ,Design Thinking and Innovations,Project,42,40,82,100,Pass
3,SCSA2301,Database Management Systems Lab,Practical,30,35,65,100,Pass
3,SITA2302,Programming in Java Lab,Practical,26,29,55,100,Pass
4,SAIC4003,Universal Human Values,Theory,40,26,66,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,45,35,80,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,36,26,62,100,Pass
4,SCSA3016,Data Science,Theory,29,21,50,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,38,41,79,100,Pass
4,SMTA1402,Probability and Statistics,Theory,42,15,57,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,33,43,76,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,20,22,42,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,32,27,59,100,Pass
