Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1301,Database Management Systems,Theory,23,27,50,100,Pass
4,SAIC4003,Universal Human Values,Theory,38,36,74,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,38,27,65,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,31,38,69,100,Pass
4,SCSA3016,Data Science,Theory,38,27,65,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,27,23,50,100,Pass
4,SMTA1402,Probability and Statistics,Theory,41,25,66,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,40,45,85,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,24,23,47,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,47,46,93,100,Pass
