Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1302,Theory of Computation,Theory,26,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,42,25,67,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,38,22,60,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,35,20,55,100,Pass
4,SCSA3092,Augmented and Virtual Reality,Theory,35,15,50,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,25,26,51,100,Pass
4,SMTA1402,Probability and Statistics,Theory,38,7,45,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,32,39,71,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,24,23,47,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,26,25,51,100,Pass
