Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,20,30,50,100,Pass
3,SCSA1302,Theory of Computation,Theory,23,0,23,100,RA
4,SAIC4003,Universal Human Values,Theory,35,31,66,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,38,33,71,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,29,25,54,100,Pass
4,SCSA3015,Deep Learning,Theory,30,32,62,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,34,21,55,100,Pass
4,SMTA1402,Probability and Statistics,Theory,39,27,66,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,33,36,69,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,22,21,43,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,32,49,81,100,Pass
