Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
1,SCSA1104,Problem Solving Techniques with C and C++,Theory,21,AAA,AAA,100,RA
1,SCSA2105,Problem Solving Techniques Lab,Practical,AAA,AAA,AAA,100,RA
1,SCYA2101,Engineering Chemistry  Lab,Practical,AAA,AAA,AAA,50,RA
2,SCSA1201,Fundamentals of Digital Systems,Theory,23,AAA,AAA,100,RA
2,SCSA1203,Data Structures,Theory,24,AAA,AAA,100,RA
2,SCSA1204,Python Programming,Theory,21,AAA,AAA,100,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,24,AAA,AAA,100,RA
2,SPHA1202,Physics for Information Science,Theory,24,AAA,AAA,100,RA
2,SCSA2201,Data Structures Lab,Practical,37,30,67,100,Pass
2,SPHA2101,Physics Lab,Practical,20,16,36,50,Pass
3,SCSA1301,Database Management Systems,Theory,20,AAA,AAA,100,RA
3,SCSA1302,Theory of Computation,Theory,27,23,50,100,Pass
3,SCSA1304,Advanced Data Structures,Theory,21,18,39,100,RA
3,SITA1301,Programming in Java,Theory,17,8,25,100,RA
3,SMTA1302,Discrete Mathematics,Theory,19,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,39,18,57,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,34,21,55,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,32,18,50,100,Pass
4,SCSA3016,Data Science,Theory,32,18,50,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,33,9,42,100,RA
4,SMTA1402,Probability and Statistics,Theory,39,6,45,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,34,36,70,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,19,22,41,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,41,40,81,100,Pass
