Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SITA2302,Programming in Java Lab,Practical,20,29,49,100,RA
4,SAIC4003,Universal Human Values,Theory,47,38,85,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,23,31,54,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,44,27,71,100,Pass
4,SCSA3016,Data Science,Theory,32,30,62,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,32,7,39,100,RA
4,SMTA1402,Probability and Statistics,Theory,43,25,68,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,37,50,87,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,23,22,45,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,42,27,69,100,Pass
