Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
1,SMTA1101,Engineering Mathematics - I ,Theory,43,16,59,100,Pass
2,SMTA1201,Engineering Mathematics  - II,Theory,18,6,24,100,RA
3,SMTA1302,Discrete Mathematics,Theory,28,22,50,100,Pass
4,SAIC4003,Universal Human Values,Theory,39,36,75,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,39,22,61,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,32,25,57,100,Pass
4,SCSA3016,Data Science,Theory,32,33,65,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,34,7,41,100,RA
4,SMTA1402,Probability and Statistics,Theory,35,21,56,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,37,38,75,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,18,22,40,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,36,38,74,100,Pass
