Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1302,Theory of Computation,Theory,29,31,60,100,Pass
4,SAIC4003,Universal Human Values,Theory,47,37,84,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,35,23,58,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,41,24,65,100,Pass
4,SCSA3092,Augmented and Virtual Reality,Theory,30,20,50,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,32,38,70,100,Pass
4,SMTA1402,Probability and Statistics,Theory,30,20,50,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,36,37,73,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,20,19,39,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,26,42,68,100,Pass
