Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,22,2,24,100,RA
3,SCSA1301,Database Management Systems,Theory,14,36,50,100,Pass
3,SCSA1302,Theory of Computation,Theory,16,18,34,100,RA
3,SMTA1302,Discrete Mathematics,Theory,20,4,24,100,RA
3,    SCSA2302,Code Optimization and Debugging - I,Practical,15,15,30,50,Pass
4,SAIC4003,Universal Human Values,Theory,42,25,67,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,38,25,63,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,38,28,66,100,Pass
4,SCSA3016,Data Science,Theory,37,25,62,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,39,15,54,100,Pass
4,SMTA1402,Probability and Statistics,Theory,37,15,52,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,44,40,84,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,17,21,38,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,39,42,81,100,Pass
