Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1301,Database Management Systems,Theory,20,AAA,AAA,100,RA
3,SITA1301,Programming in Java,Theory,24,26,50,100,Pass
4,SAIC4003,Universal Human Values,Theory,41,30,71,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,36,15,51,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,35,5,40,100,RA
4,SCSA3016,Data Science,Theory,35,26,61,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,29,4,33,100,RA
4,SMTA1402,Probability and Statistics,Theory,38,27,65,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,25,34,59,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,23,21,44,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,36,25,61,100,Pass
