Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SCSA1203,Data Structures,Theory,21,18,39,100,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,30,8,38,100,RA
2,SPHA1202,Physics for Information Science,Theory,20,14,34,100,RA
2,SPHA2101,Physics Lab,Practical,16,22,38,50,Pass
3,SCSA1301,Database Management Systems,Theory,23,8,31,100,RA
3,SCSA1302,Theory of Computation,Theory,20,30,50,100,Pass
3,SCSA1304,Advanced Data Structures,Theory,26,7,33,100,RA
3,SMTA1302,Discrete Mathematics,Theory,14,0,14,100,RA
3,SITA2302,Programming in Java Lab,Practical,25,32,57,100,Pass
4,SAIC4003,Universal Human Values,Theory,38,28,66,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,25,12,37,100,RA
4,SCSA1403,Design and Analysis of Algorithms,Theory,32,18,50,100,Pass
4,SCSA3092,Augmented and Virtual Reality,Theory,23,9,32,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,29,5,34,100,RA
4,SMTA1402,Probability and Statistics,Theory,35,11,46,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,30,39,69,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,24,20,44,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,25,29,54,100,Pass
