Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,16,15,31,100,RA
3,SCSA1302,Theory of Computation,Theory,25,25,50,100,Pass
3,SMTA1302,Discrete Mathematics,Theory,30,20,50,100,Pass
4,SAIC4003,Universal Human Values,Theory,40,39,79,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,36,15,51,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,34,16,50,100,Pass
4,SCSA3016,Data Science,Theory,38,17,55,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,36,30,66,100,Pass
4,SMTA1402,Probability and Statistics,Theory,38,8,46,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,40,42,82,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,19,23,42,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,43,48,91,100,Pass
