Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SCSA1203,Data Structures,Theory,16,0,16,100,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,21,0,21,100,RA
2,SPHA1202,Physics for Information Science,Theory,21,2,23,100,RA
3,SCSA1302,Theory of Computation,Theory,28,22,50,100,Pass
3,SCSA1304,Advanced Data Structures,Theory,17,19,36,100,RA
3,SMTA1302,Discrete Mathematics,Theory,17,6,23,100,RA
3,    SCSA2302,Code Optimization and Debugging - I,Practical,14,16,30,50,Pass
3,SCSA2301,Database Management Systems Lab,Practical,28,33,61,100,Pass
4,SAIC4003,Universal Human Values,Theory,39,34,73,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,30,21,51,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,32,18,50,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,34,16,50,100,Pass
4,SITA3004,User Interface Design and Implementation,Theory,26,27,53,100,Pass
4,SMTA1402,Probability and Statistics,Theory,29,6,35,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,30,41,71,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,17,22,39,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,44,41,85,100,Pass
