Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1302,Theory of Computation,Theory,33,33,66,100,Pass
3,SCSA1304,Advanced Data Structures,Theory,19,35,54,100,Pass
4,SAIC4003,Universal Human Values,Theory,43,26,69,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,40,33,73,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,29,21,50,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,33,17,50,100,Pass
4,SITA3004,User Interface Design and Implementation,Theory,30,27,57,100,Pass
4,SMTA1402,Probability and Statistics,Theory,32,8,40,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,5,41,46,100,RA
4,SCSA2402,Code Optimization and Debugging - II,Practical,19,21,40,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,46,39,85,100,Pass
