Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SCSA2201,Data Structures Lab,Practical,AAA,AAA,AAA,100,RA
3,SCSA1301,Database Management Systems,Theory,33,AAA,AAA,100,RA
3,SCSA1302,Theory of Computation,Theory,19,AAA,AAA,100,RA
3,    SCSA2302,Code Optimization and Debugging - I,Practical,AAA,AAA,AAA,50,RA
4,SAIC4003,Universal Human Values,Theory,39,25,64,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,32,21,53,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,31,27,58,100,Pass
4,SCSA3016,Data Science,Theory,22,17,39,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,29,AAA,AAA,100,RA
4,SMTA1402,Probability and Statistics,Theory,24,1,25,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,38,18,56,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,20,22,42,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,45,40,85,100,Pass
