Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,27,23,50,100,Pass
4,SAIC4003,Universal Human Values,Theory,38,30,68,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,41,35,76,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,31,34,65,100,Pass
4,SCSA3016,Data Science,Theory,35,31,66,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,28,22,50,100,Pass
4,SMTA1402,Probability and Statistics,Theory,30,20,50,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,39,36,75,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,21,21,42,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,41,45,86,100,Pass
