Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SMTA1302,Discrete Mathematics,Theory,26,7,33,100,RA
4,SAIC4003,Universal Human Values,Theory,47,30,77,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,38,27,65,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,41,37,78,100,Pass
4,SCSA3016,Data Science,Theory,39,27,66,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,38,32,70,100,Pass
4,SMTA1402,Probability and Statistics,Theory,38,1,39,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,38,41,79,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,17,21,38,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,41,39,80,100,Pass
