Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,10,15,25,100,RA
3,SCSA1301,Database Management Systems,Theory,21,29,50,100,Pass
3,SMTA1302,Discrete Mathematics,Theory,12,4,16,100,RA
4,SAIC4003,Universal Human Values,Theory,39,28,67,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,35,21,56,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,26,6,32,100,RA
4,SCSA3016,Data Science,Theory,35,25,60,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,27,25,52,100,Pass
4,SMTA1402,Probability and Statistics,Theory,20,0,20,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,44,45,89,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,21,21,42,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,44,33,77,100,Pass
