Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,24,26,50,100,Pass
3,SCSA1304,Advanced Data Structures,Theory,32,38,70,100,Pass
3,SMTA1302,Discrete Mathematics,Theory,24,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,37,21,58,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,34,8,42,100,RA
4,SCSA1403,Design and Analysis of Algorithms,Theory,31,23,54,100,Pass
4,SCSA3092,Augmented and Virtual Reality,Theory,33,27,60,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,29,24,53,100,Pass
4,SMTA1402,Probability and Statistics,Theory,33,5,38,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,12,32,44,100,RA
4,SCSA2402,Code Optimization and Debugging - II,Practical,21,23,44,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,33,38,71,100,Pass
