Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SPHA1202,Physics for Information Science,Theory,31,27,58,100,Pass
3,SMTA1302,Discrete Mathematics,Theory,25,8,33,100,RA
4,SAIC4003,Universal Human Values,Theory,39,25,64,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,38,37,75,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,34,23,57,100,Pass
4,SCSA3016,Data Science,Theory,38,23,61,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,32,23,55,100,Pass
4,SMTA1402,Probability and Statistics,Theory,34,7,41,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,38,41,79,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,22,22,44,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,41,42,83,100,Pass
