Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SCSA1201,Fundamentals of Digital Systems,Theory,19,AAA,AAA,100,RA
2,SPHA1202,Physics for Information Science,Theory,29,AAA,AAA,100,RA
3,SCSA1301,Database Management Systems,Theory,25,6,31,100,RA
3,SCSA1302,Theory of Computation,Theory,12,5,17,100,RA
3,SCSA1304,Advanced Data Structures,Theory,15,4,19,100,RA
3,SITA1301,Programming in Java,Theory,16,AAA,AAA,100,RA
3,SMTA1302,Discrete Mathematics,Theory,15,AAA,AAA,100,RA
3,SCSADPROJ,Design Thinking and Innovations,Project,43,38,81,100,Pass
3,SITA2302,Programming in Java Lab,Practical,AAA,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,38,36,74,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,35,8,43,100,RA
4,SCSA1403,Design and Analysis of Algorithms,Theory,32,18,50,100,Pass
4,SCSA3016,Data Science,Theory,16,16,32,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,22,15,37,100,RA
4,SMTA1402,Probability and Statistics,Theory,26,5,31,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,43,38,81,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,18,21,39,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,25,25,50,100,Pass
