Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
1,SCYA1102,Engineering Chemistry,Theory,19,AAA,AAA,100,RA
1,SMTA1101,Engineering Mathematics - I ,Theory,16,AAA,AAA,100,RA
1,SCSA2105,Problem Solving Techniques Lab,Practical,AAA,AAA,AAA,100,RA
1,SCYA2101,Engineering Chemistry  Lab,Practical,AAA,AAA,AAA,50,RA
2,SMTA1201,Engineering Mathematics  - II,Theory,17,AAA,AAA,100,RA
2,SPHA1202,Physics for Information Science,Theory,32,AAA,AAA,100,RA
3,SITA1301,Programming in Java,Theory,27,AAA,AAA,100,RA
3,SMTA1302,Discrete Mathematics,Theory,25,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,33,23,56,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,34,1,35,100,RA
4,SCSA1403,Design and Analysis of Algorithms,Theory,25,0,25,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,25,AAA,AAA,100,RA
4,SITA3004,User Interface Design and Implementation,Theory,21,0,21,100,RA
4,SMTA1402,Probability and Statistics,Theory,29,0,29,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,22,AAA,AAA,100,RA
4,SCSA2402,Code Optimization and Debugging - II,Practical,AAA,AAA,AAA,50,RA
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,44,AAA,AAA,100,RA
