Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
1,SCYA2101,Engineering Chemistry  Lab,Practical,23,21,44,50,Pass
4,SAIC4003,Universal Human Values,Theory,38,31,69,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,32,33,65,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,34,34,68,100,Pass
4,SCSA3092,Augmented and Virtual Reality,Theory,36,26,62,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,43,23,66,100,Pass
4,SMTA1402,Probability and Statistics,Theory,42,24,66,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,30,43,73,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,22,21,43,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,43,43,86,100,Pass
