Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SMTA1302,Discrete Mathematics,Theory,27,12,39,100,RA
4,SAIC4003,Universal Human Values,Theory,47,40,87,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,43,44,87,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,39,33,72,100,Pass
4,SCSA3015,Deep Learning,Theory,36,33,69,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,34,10,44,100,RA
4,SMTA1402,Probability and Statistics,Theory,39,10,49,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,40,31,71,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,23,21,44,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,35,30,65,100,Pass
