Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,25,4,29,100,RA
3,SCSA1302,Theory of Computation,Theory,26,24,50,100,Pass
3,SCSA1304,Advanced Data Structures,Theory,19,34,53,100,Pass
3,SITA1301,Programming in Java,Theory,27,23,50,100,Pass
3,SMTA1302,Discrete Mathematics,Theory,22,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,38,35,73,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,45,19,64,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,36,34,70,100,Pass
4,SCSA3015,Deep Learning,Theory,31,32,63,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,36,31,67,100,Pass
4,SMTA1402,Probability and Statistics,Theory,29,7,36,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,45,46,91,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,24,19,43,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,43,49,92,100,Pass
