Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1302,Theory of Computation,Theory,18,1,19,100,RA
4,SAIC4003,Universal Human Values,Theory,36,22,58,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,31,19,50,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,35,25,60,100,Pass
4,SCSA3016,Data Science,Theory,34,16,50,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,34,25,59,100,Pass
4,SMTA1402,Probability and Statistics,Theory,34,6,40,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,39,32,71,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,16,21,37,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,45,45,90,100,Pass
