Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,24,AAA,AAA,100,RA
2,SPHA1202,Physics for Information Science,Theory,19,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,41,40,81,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,36,26,62,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,32,36,68,100,Pass
4,SCSA3016,Data Science,Theory,40,19,59,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,31,19,50,100,Pass
4,SMTA1402,Probability and Statistics,Theory,25,3,28,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,47,46,93,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,AAA,AAA,AAA,50,RA
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,48,48,96,100,Pass
