Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
1,SMTA1101,Engineering Mathematics - I ,Theory,43,AAA,AAA,100,RA
2,SCSA1204,Python Programming,Theory,27,25,52,100,Pass
2,SMTA1201,Engineering Mathematics  - II,Theory,18,0,18,100,RA
3,SCSA1302,Theory of Computation,Theory,30,1,31,100,RA
3,SCSA1304,Advanced Data Structures,Theory,25,25,50,100,Pass
3,SITA1301,Programming in Java,Theory,25,33,58,100,Pass
3,SMTA1302,Discrete Mathematics,Theory,16,AAA,AAA,100,RA
4,SAIC4003,Universal Human Values,Theory,37,29,66,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,31,19,50,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,31,1,32,100,RA
4,SCSA3016,Data Science,Theory,32,10,42,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,19,14,33,100,RA
4,SMTA1402,Probability and Statistics,Theory,32,7,39,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,5,42,47,100,RA
4,SCSA2402,Code Optimization and Debugging - II,Practical,18,AAA,AAA,50,RA
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,29,26,55,100,Pass
