Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
2,SMTA1201,Engineering Mathematics  - II,Theory,19,1,20,100,RA
3,SCSA1302,Theory of Computation,Theory,25,25,50,100,Pass
3,SCSA2301,Database Management Systems Lab,Practical,39,31,70,100,Pass
4,SAIC4003,Universal Human Values,Theory,39,28,67,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,32,38,70,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,33,25,58,100,Pass
4,SCSA3016,Data Science,Theory,29,27,56,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,30,20,50,100,Pass
4,SMTA1402,Probability and Statistics,Theory,36,11,47,100,RA
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,34,41,75,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,23,21,44,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,35,39,74,100,Pass
