Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1302,Theory of Computation,Theory,38,15,53,100,Pass
3,SITA1301,Programming in Java,Theory,34,22,56,100,Pass
4,SAIC4003,Universal Human Values,Theory,43,25,68,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,35,19,54,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,38,16,54,100,Pass
4,SCSA3015,Deep Learning,Theory,39,8,47,100,RA
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,38,20,58,100,Pass
4,SMTA1402,Probability and Statistics,Theory,40,16,56,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,36,39,75,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,18,22,40,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,43,40,83,100,Pass
