Semester,Course Code,Course Title,Course Type,Internal Marks,External Marks,Total,Max. Marks,Result
3,SCSA1304,Advanced Data Structures,Theory,30,35,65,100,Pass
4,SAIC4003,Universal Human Values,Theory,39,17,56,100,Pass
4,SCSA1401,Object Oriented Analysis and System Engineering,Theory,35,24,59,100,Pass
4,SCSA1403,Design and Analysis of Algorithms,Theory,38,28,66,100,Pass
4,SCSA3092,Augmented and Virtual Reality,Theory,34,21,55,100,Pass
4,SECA1404,Microprocessor and Microcontroller Based Systems,Theory,30,25,55,100,Pass
4,SMTA1402,Probability and Statistics,Theory,34,16,50,100,Pass
4,SCSA2401,Object Oriented Analysis and System Engineering Lab,Practical,37,46,83,100,Pass
4,SCSA2402,Code Optimization and Debugging - II,Practical,17,21,38,50,Pass
4,SECA2405,Microprocessor and Microcontroller Lab,Practical,38,49,87,100,Pass
